"reward","assignmentid","workerid","assignmentaccepttime","assignmentsubmittime","response","confidence","trivialArgument","argtype","qnumber","property","p1animal","p2animal","cows","chimps","gorillas","mice","squirrels","elephants","seals","rhinos","dolphins","horses","mammals","animals","modal","rt","premisecode","language"
"$0.40","2XNP3TVOK5UFQX3NQF5O4FYR7HS63X","A2HHKS3P8T7SH1","Fri Dec 30 10:59:23 PST 2011","Fri Dec 30 11:03:48 PST 2011","accept",4,"true","identity",10,"use acetylcholine as a neurotransmitter","mice","horses",0,0,0,1,0,0,0,0,0,1,0,0,"probable",6822,"pc000100000100","English"
"$0.40","2XNP3TVOK5UFQX3NQF5O4FYR7HS63X","A2HHKS3P8T7SH1","Fri Dec 30 10:59:23 PST 2011","Fri Dec 30 11:03:48 PST 2011","reject",3,"false","contingent",11,"use adipose tissue to synthesize triacylglycerols","dolphins","seals",0,0,0,0,0,0,1,0,1,0,0,0,"likely",10112,"pc000000101000","English"
"$0.40","2XNP3TVOK5UFQX3NQF5O4FYR7HS63X","A2HHKS3P8T7SH1","Fri Dec 30 10:59:23 PST 2011","Fri Dec 30 11:03:48 PST 2011","accept",4,"false","contingent",12,"use enzyme B-32 to digest food","elephants","chimps",0,1,0,0,0,1,0,0,0,0,0,0,"possible",6589,"pc010001000000","English"
"$0.40","2XNP3TVOK5UFQX3NQF5O4FYR7HS63X","A2HHKS3P8T7SH1","Fri Dec 30 10:59:23 PST 2011","Fri Dec 30 11:03:48 PST 2011","accept",5,"false","contingent",13,"become disoriented and motionless when exposed to high ozone levels","rhinos","gorillas",0,0,1,0,0,0,0,1,0,0,0,0,"none",7069,"pc001000010000","English"
"$0.40","2XNP3TVOK5UFQX3NQF5O4FYR7HS63X","A2HHKS3P8T7SH1","Fri Dec 30 10:59:23 PST 2011","Fri Dec 30 11:03:48 PST 2011","accept",4,"false","contingent",14,"require biotin for hemoglobin synthesis","chimps","seals",0,1,0,0,0,0,1,0,0,0,0,0,"none",5546,"pc010000100000","English"
"$0.40","2XNP3TVOK5UFQX3NQF5O4FYR7HS63X","A2HHKS3P8T7SH1","Fri Dec 30 10:59:23 PST 2011","Fri Dec 30 11:03:48 PST 2011","accept",4,"false","contingent",15,"have a right aortic arch","gorillas","elephants",0,0,1,0,0,1,0,0,0,0,0,0,"possible",4686,"pc001001000000","English"
"$0.40","2XNP3TVOK5UFQX3NQF5O4FYR7HS63X","A2HHKS3P8T7SH1","Fri Dec 30 10:59:23 PST 2011","Fri Dec 30 11:03:48 PST 2011","accept",3,"false","contingent",16,"have iron sulfate in their blood","rhinos","mice",0,0,0,1,0,0,0,1,0,0,0,0,"probable",6143,"pc000100010000","English"
"$0.40","2XNP3TVOK5UFQX3NQF5O4FYR7HS63X","A2HHKS3P8T7SH1","Fri Dec 30 10:59:23 PST 2011","Fri Dec 30 11:03:48 PST 2011","reject",2,"false","contingent",17,"have a high potassium concentration in their blood","dolphins","squirrels",0,0,0,0,1,0,0,0,1,0,0,0,"likely",11340,"pc000010001000","English"
"$0.40","2XNP3TVOK5UFQX3NQF5O4FYR7HS63X","A2HHKS3P8T7SH1","Fri Dec 30 10:59:23 PST 2011","Fri Dec 30 11:03:48 PST 2011","accept",4,"true","inclusion",18,"have an ulnar artery","elephants","mammals",0,0,0,0,0,1,0,0,0,0,1,0,"plausible",5822,"pc000001000010","English"
"$0.40","2XNP3TVOK5UFQX3NQF5O4FYR7HS63X","A2HHKS3P8T7SH1","Fri Dec 30 10:59:23 PST 2011","Fri Dec 30 11:03:48 PST 2011","reject",2,"false","contingent",19,"require vitamin K for their livers to function","squirrels","mice",0,0,0,1,1,0,0,0,0,0,0,0,"necessary",10134,"pc000110000000","English"
"$0.40","2XNP3TVOK5UFQX3NQF5O4FYR7HS63X","A2HHKS3P8T7SH1","Fri Dec 30 10:59:23 PST 2011","Fri Dec 30 11:03:48 PST 2011","accept",4,"false","contingent",20,"use seratonin as a neurotransmitter","chimps","seals",0,1,0,0,0,0,1,0,0,0,0,0,"certain",5294,"pc010000100000","English"
"$0.40","2XLBJ3MMDX5FWZPVL98BEMDY3YEDZT","A2VEGIOXRNMD3S","Fri Dec 30 11:01:21 PST 2011","Fri Dec 30 11:05:02 PST 2011","reject",3,"false","contingent",0,"have blood salinity which declines from infancy to maturity","rhinos","seals",0,0,0,0,0,0,1,1,0,0,0,0,"likely",22289,"pc000000110000","English"
"$0.40","2XLBJ3MMDX5FWZPVL98BEMDY3YEDZT","A2VEGIOXRNMD3S","Fri Dec 30 11:01:21 PST 2011","Fri Dec 30 11:05:02 PST 2011","accept",5,"true","inclusion",1,"use adipose tissue to synthesize triacylglycerols","mice","mammals",0,0,0,1,0,0,0,0,0,0,1,0,"none",8676,"pc000100000010","English"
"$0.40","2XLBJ3MMDX5FWZPVL98BEMDY3YEDZT","A2VEGIOXRNMD3S","Fri Dec 30 11:01:21 PST 2011","Fri Dec 30 11:05:02 PST 2011","accept",4,"false","contingent",2,"have an ulnar artery","dolphins","cows",1,0,0,0,0,0,0,0,1,0,0,0,"plausible",6161,"pc100000001000","English"
"$0.40","2XLBJ3MMDX5FWZPVL98BEMDY3YEDZT","A2VEGIOXRNMD3S","Fri Dec 30 11:01:21 PST 2011","Fri Dec 30 11:05:02 PST 2011","accept",5,"true","identity",3,"have iron sulfate in their blood","chimps","horses",0,1,0,0,0,0,0,0,0,1,0,0,"necessary",8203,"pc010000000100","English"
"$0.40","2XLBJ3MMDX5FWZPVL98BEMDY3YEDZT","A2VEGIOXRNMD3S","Fri Dec 30 11:01:21 PST 2011","Fri Dec 30 11:05:02 PST 2011","reject",3,"false","contingent",4,"continuously shed their outer keratin layer","elephants","squirrels",0,0,0,0,1,1,0,0,0,0,0,0,"probable",10267,"pc000011000000","English"
"$0.40","2XLBJ3MMDX5FWZPVL98BEMDY3YEDZT","A2VEGIOXRNMD3S","Fri Dec 30 11:01:21 PST 2011","Fri Dec 30 11:05:02 PST 2011","accept",2,"false","contingent",5,"have a right aortic arch","dolphins","mice",0,0,0,1,0,0,0,0,1,0,0,0,"certain",12170,"pc000100001000","English"
"$0.40","2XLBJ3MMDX5FWZPVL98BEMDY3YEDZT","A2VEGIOXRNMD3S","Fri Dec 30 11:01:21 PST 2011","Fri Dec 30 11:05:02 PST 2011","accept",2,"false","contingent",6,"use norephinephrine as a regulator of sexual drive","squirrels","elephants",0,0,0,0,1,1,0,0,0,0,0,0,"possible",8514,"pc000011000000","English"
"$0.40","2XLBJ3MMDX5FWZPVL98BEMDY3YEDZT","A2VEGIOXRNMD3S","Fri Dec 30 11:01:21 PST 2011","Fri Dec 30 11:05:02 PST 2011","reject",3,"false","contingent",7,"require trace amounts of magnesium for reproduction","rhinos","seals",0,0,0,0,0,0,1,1,0,0,0,0,"likely",8433,"pc000000110000","English"
"$0.40","2XLBJ3MMDX5FWZPVL98BEMDY3YEDZT","A2VEGIOXRNMD3S","Fri Dec 30 11:01:21 PST 2011","Fri Dec 30 11:05:02 PST 2011","accept",3,"false","contingent",8,"have enzyme X132 in their bloodstreams","cows","chimps",1,1,0,0,0,0,0,0,0,0,0,0,"necessary",6546,"pc110000000000","English"
"$0.40","2XLBJ3MMDX5FWZPVL98BEMDY3YEDZT","A2VEGIOXRNMD3S","Fri Dec 30 11:01:21 PST 2011","Fri Dec 30 11:05:02 PST 2011","accept",2,"false","contingent",9,"use seratonin as a neurotransmitter","mice","rhinos",0,0,0,1,0,0,0,1,0,0,0,0,"possible",5980,"pc000100010000","English"
"$0.40","2XLBJ3MMDX5FWZPVL98BEMDY3YEDZT","A2VEGIOXRNMD3S","Fri Dec 30 11:01:21 PST 2011","Fri Dec 30 11:05:02 PST 2011","reject",1,"false","contingent",10,"have a blood PH of 7.9","squirrels","dolphins",0,0,0,0,1,0,0,0,1,0,0,0,"probable",6983,"pc000010001000","English"
"$0.40","2XLBJ3MMDX5FWZPVL98BEMDY3YEDZT","A2VEGIOXRNMD3S","Fri Dec 30 11:01:21 PST 2011","Fri Dec 30 11:05:02 PST 2011","reject",2,"false","contingent",11,"become disoriented and motionless when exposed to high ozone levels","seals","chimps",0,1,0,0,0,0,1,0,0,0,0,0,"certain",9788,"pc010000100000","English"
"$0.40","2XLBJ3MMDX5FWZPVL98BEMDY3YEDZT","A2VEGIOXRNMD3S","Fri Dec 30 11:01:21 PST 2011","Fri Dec 30 11:05:02 PST 2011","accept",2,"false","contingent",12,"use acetylcholine as a neurotransmitter","elephants","gorillas",0,0,1,0,0,1,0,0,0,0,0,0,"none",7710,"pc001001000000","English"
"$0.40","2XLBJ3MMDX5FWZPVL98BEMDY3YEDZT","A2VEGIOXRNMD3S","Fri Dec 30 11:01:21 PST 2011","Fri Dec 30 11:05:02 PST 2011","accept",3,"false","contingent",13,"have a high potassium concentration in their blood","rhinos","dolphins",0,0,0,0,0,0,0,1,1,0,0,0,"plausible",7008,"pc000000011000","English"
"$0.40","2XLBJ3MMDX5FWZPVL98BEMDY3YEDZT","A2VEGIOXRNMD3S","Fri Dec 30 11:01:21 PST 2011","Fri Dec 30 11:05:02 PST 2011","accept",4,"false","contingent",14,"have a tympanic membrane in their inner ears","gorillas","cows",1,0,1,0,0,0,0,0,0,0,0,0,"none",7779,"pc101000000000","English"
"$0.40","2XLBJ3MMDX5FWZPVL98BEMDY3YEDZT","A2VEGIOXRNMD3S","Fri Dec 30 11:01:21 PST 2011","Fri Dec 30 11:05:02 PST 2011","reject",3,"false","contingent",15,"have seasmoid bones","squirrels","chimps",0,1,0,0,1,0,0,0,0,0,0,0,"necessary",8432,"pc010010000000","English"
"$0.40","2XLBJ3MMDX5FWZPVL98BEMDY3YEDZT","A2VEGIOXRNMD3S","Fri Dec 30 11:01:21 PST 2011","Fri Dec 30 11:05:02 PST 2011","accept",2,"false","contingent",16,"use enzyme B-32 to digest food","elephants","mice",0,0,0,1,0,1,0,0,0,0,0,0,"certain",7988,"pc000101000000","English"
"$0.40","2XLBJ3MMDX5FWZPVL98BEMDY3YEDZT","A2VEGIOXRNMD3S","Fri Dec 30 11:01:21 PST 2011","Fri Dec 30 11:05:02 PST 2011","accept",2,"false","contingent",17,"secrete uric acid crystals","gorillas","rhinos",0,0,1,0,0,0,0,1,0,0,0,0,"probable",8486,"pc001000010000","English"
"$0.40","2XLBJ3MMDX5FWZPVL98BEMDY3YEDZT","A2VEGIOXRNMD3S","Fri Dec 30 11:01:21 PST 2011","Fri Dec 30 11:05:02 PST 2011","accept",5,"true","inclusion",18,"require vitamin K for their livers to function","animals","mice",0,0,0,1,0,0,0,0,0,0,0,1,"likely",5406,"pc000100000001","English"
"$0.40","2XLBJ3MMDX5FWZPVL98BEMDY3YEDZT","A2VEGIOXRNMD3S","Fri Dec 30 11:01:21 PST 2011","Fri Dec 30 11:05:02 PST 2011","accept",5,"true","identity",19,"require biotin for hemoglobin synthesis","elephants","horses",0,0,0,0,0,1,0,0,0,1,0,0,"possible",5867,"pc000001000100","English"
"$0.40","2XLBJ3MMDX5FWZPVL98BEMDY3YEDZT","A2VEGIOXRNMD3S","Fri Dec 30 11:01:21 PST 2011","Fri Dec 30 11:05:02 PST 2011","accept",2,"false","contingent",20,"require oxydilic acid for good digestion","chimps","seals",0,1,0,0,0,0,1,0,0,0,0,0,"plausible",5501,"pc010000100000","English"
"$0.40","2SCMN9U8P9Y3FLYLG7USZYINFZ7EVL","A14JSTHMQVYBPI","Fri Dec 30 10:51:13 PST 2011","Fri Dec 30 10:58:45 PST 2011","accept",5,"false","contingent",0,"have enzyme X132 in their bloodstreams","elephants","squirrels",0,0,0,0,1,1,0,0,0,0,0,0,"certain",32986,"pc000011000000","English"
"$0.40","2SCMN9U8P9Y3FLYLG7USZYINFZ7EVL","A14JSTHMQVYBPI","Fri Dec 30 10:51:13 PST 2011","Fri Dec 30 10:58:45 PST 2011","accept",5,"false","contingent",1,"become disoriented and motionless when exposed to high ozone levels","mice","dolphins",0,0,0,1,0,0,0,0,1,0,0,0,"likely",19663,"pc000100001000","English"
"$0.40","2SCMN9U8P9Y3FLYLG7USZYINFZ7EVL","A14JSTHMQVYBPI","Fri Dec 30 10:51:13 PST 2011","Fri Dec 30 10:58:45 PST 2011","accept",5,"false","contingent",2,"have iron sulfate in their blood","gorillas","rhinos",0,0,1,0,0,0,0,1,0,0,0,0,"probable",18052,"pc001000010000","English"
"$0.40","2SCMN9U8P9Y3FLYLG7USZYINFZ7EVL","A14JSTHMQVYBPI","Fri Dec 30 10:51:13 PST 2011","Fri Dec 30 10:58:45 PST 2011","accept",5,"false","contingent",3,"have blood salinity which declines from infancy to maturity","seals","chimps",0,1,0,0,0,0,1,0,0,0,0,0,"necessary",26563,"pc010000100000","English"
"$0.40","2SCMN9U8P9Y3FLYLG7USZYINFZ7EVL","A14JSTHMQVYBPI","Fri Dec 30 10:51:13 PST 2011","Fri Dec 30 10:58:45 PST 2011","accept",5,"false","contingent",4,"use acetylcholine as a neurotransmitter","cows","squirrels",1,0,0,0,1,0,0,0,0,0,0,0,"plausible",8421,"pc100010000000","English"
"$0.40","2SCMN9U8P9Y3FLYLG7USZYINFZ7EVL","A14JSTHMQVYBPI","Fri Dec 30 10:51:13 PST 2011","Fri Dec 30 10:58:45 PST 2011","accept",5,"true","inclusion",5,"secrete uric acid crystals","gorillas","mammals",0,0,1,0,0,0,0,0,0,0,1,0,"possible",17971,"pc001000000010","English"
"$0.40","2SCMN9U8P9Y3FLYLG7USZYINFZ7EVL","A14JSTHMQVYBPI","Fri Dec 30 10:51:13 PST 2011","Fri Dec 30 10:58:45 PST 2011","accept",5,"false","contingent",6,"use norephinephrine as a regulator of sexual drive","elephants","mice",0,0,0,1,0,1,0,0,0,0,0,0,"none",17298,"pc000101000000","English"
"$0.40","2SCMN9U8P9Y3FLYLG7USZYINFZ7EVL","A14JSTHMQVYBPI","Fri Dec 30 10:51:13 PST 2011","Fri Dec 30 10:58:45 PST 2011","accept",5,"true","identity",7,"use adipose tissue to synthesize triacylglycerols","chimps","horses",0,1,0,0,0,0,0,0,0,1,0,0,"necessary",20225,"pc010000000100","English"
"$0.40","2SCMN9U8P9Y3FLYLG7USZYINFZ7EVL","A14JSTHMQVYBPI","Fri Dec 30 10:51:13 PST 2011","Fri Dec 30 10:58:45 PST 2011","accept",5,"false","contingent",8,"require biotin for hemoglobin synthesis","seals","rhinos",0,0,0,0,0,0,1,1,0,0,0,0,"possible",13403,"pc000000110000","English"
"$0.40","2SCMN9U8P9Y3FLYLG7USZYINFZ7EVL","A14JSTHMQVYBPI","Fri Dec 30 10:51:13 PST 2011","Fri Dec 30 10:58:45 PST 2011","accept",4,"false","contingent",9,"have seasmoid bones","gorillas","rhinos",0,0,1,0,0,0,0,1,0,0,0,0,"plausible",17461,"pc001000010000","English"
"$0.40","2SCMN9U8P9Y3FLYLG7USZYINFZ7EVL","A14JSTHMQVYBPI","Fri Dec 30 10:51:13 PST 2011","Fri Dec 30 10:58:45 PST 2011","accept",4,"true","inclusion",10,"have a high potassium concentration in their blood","animals","seals",0,0,0,0,0,0,1,0,0,0,0,1,"none",11937,"pc000000100001","English"
"$0.40","2SCMN9U8P9Y3FLYLG7USZYINFZ7EVL","A14JSTHMQVYBPI","Fri Dec 30 10:51:13 PST 2011","Fri Dec 30 10:58:45 PST 2011","accept",5,"false","contingent",11,"have a tympanic membrane in their inner ears","mice","chimps",0,1,0,1,0,0,0,0,0,0,0,0,"probable",10531,"pc010100000000","English"
"$0.40","2SCMN9U8P9Y3FLYLG7USZYINFZ7EVL","A14JSTHMQVYBPI","Fri Dec 30 10:51:13 PST 2011","Fri Dec 30 10:58:45 PST 2011","accept",5,"false","contingent",12,"use seratonin as a neurotransmitter","elephants","squirrels",0,0,0,0,1,1,0,0,0,0,0,0,"certain",7155,"pc000011000000","English"
"$0.40","2SCMN9U8P9Y3FLYLG7USZYINFZ7EVL","A14JSTHMQVYBPI","Fri Dec 30 10:51:13 PST 2011","Fri Dec 30 10:58:45 PST 2011","accept",4,"false","contingent",13,"have a blood PH of 7.9","cows","dolphins",1,0,0,0,0,0,0,0,1,0,0,0,"likely",13787,"pc100000001000","English"
"$0.40","2SCMN9U8P9Y3FLYLG7USZYINFZ7EVL","A14JSTHMQVYBPI","Fri Dec 30 10:51:13 PST 2011","Fri Dec 30 10:58:45 PST 2011","reject",5,"false","contingent",14,"have an ulnar artery","dolphins","gorillas",0,0,1,0,0,0,0,0,1,0,0,0,"certain",17261,"pc001000001000","English"
"$0.40","2SCMN9U8P9Y3FLYLG7USZYINFZ7EVL","A14JSTHMQVYBPI","Fri Dec 30 10:51:13 PST 2011","Fri Dec 30 10:58:45 PST 2011","accept",4,"false","contingent",15,"require trace amounts of magnesium for reproduction","seals","elephants",0,0,0,0,0,1,1,0,0,0,0,0,"probable",16339,"pc000001100000","English"
"$0.40","2SCMN9U8P9Y3FLYLG7USZYINFZ7EVL","A14JSTHMQVYBPI","Fri Dec 30 10:51:13 PST 2011","Fri Dec 30 10:58:45 PST 2011","accept",4,"false","contingent",16,"use enzyme B-32 to digest food","chimps","rhinos",0,1,0,0,0,0,0,1,0,0,0,0,"likely",15763,"pc010000010000","English"
"$0.40","2SCMN9U8P9Y3FLYLG7USZYINFZ7EVL","A14JSTHMQVYBPI","Fri Dec 30 10:51:13 PST 2011","Fri Dec 30 10:58:45 PST 2011","reject",3,"false","contingent",17,"continuously shed their outer keratin layer","squirrels","cows",1,0,0,0,1,0,0,0,0,0,0,0,"plausible",21769,"pc100010000000","English"
"$0.40","2SCMN9U8P9Y3FLYLG7USZYINFZ7EVL","A14JSTHMQVYBPI","Fri Dec 30 10:51:13 PST 2011","Fri Dec 30 10:58:45 PST 2011","accept",4,"true","identity",18,"have a right aortic arch","rhinos","horses",0,0,0,0,0,0,0,1,0,1,0,0,"none",17911,"pc000000010100","English"
"$0.40","2SCMN9U8P9Y3FLYLG7USZYINFZ7EVL","A14JSTHMQVYBPI","Fri Dec 30 10:51:13 PST 2011","Fri Dec 30 10:58:45 PST 2011","accept",5,"false","contingent",19,"require vitamin K for their livers to function","elephants","mice",0,0,0,1,0,1,0,0,0,0,0,0,"possible",12426,"pc000101000000","English"
"$0.40","2SCMN9U8P9Y3FLYLG7USZYINFZ7EVL","A14JSTHMQVYBPI","Fri Dec 30 10:51:13 PST 2011","Fri Dec 30 10:58:45 PST 2011","reject",2,"false","contingent",20,"require oxydilic acid for good digestion","squirrels","dolphins",0,0,0,0,1,0,0,0,1,0,0,0,"necessary",28271,"pc000010001000","English"
"$0.40","2WAKMN9U8P9YA0VLFM93XUYJ1GYDU3","AI2GXFO5FLLZ1","Fri Dec 30 10:52:42 PST 2011","Fri Dec 30 10:59:33 PST 2011","reject",3,"false","contingent",0,"have enzyme X132 in their bloodstreams","elephants","squirrels",0,0,0,0,1,1,0,0,0,0,0,0,"none",28000,"pc000011000000","English"
"$0.40","2WAKMN9U8P9YA0VLFM93XUYJ1GYDU3","AI2GXFO5FLLZ1","Fri Dec 30 10:52:42 PST 2011","Fri Dec 30 10:59:33 PST 2011","reject",4,"false","contingent",1,"use enzyme B-32 to digest food","gorillas","chimps",0,1,1,0,0,0,0,0,0,0,0,0,"plausible",19532,"pc011000000000","English"
"$0.40","2WAKMN9U8P9YA0VLFM93XUYJ1GYDU3","AI2GXFO5FLLZ1","Fri Dec 30 10:52:42 PST 2011","Fri Dec 30 10:59:33 PST 2011","accept",3,"true","inclusion",2,"use seratonin as a neurotransmitter","cows","mammals",1,0,0,0,0,0,0,0,0,0,1,0,"certain",15844,"pc100000000010","English"
"$0.40","2WAKMN9U8P9YA0VLFM93XUYJ1GYDU3","AI2GXFO5FLLZ1","Fri Dec 30 10:52:42 PST 2011","Fri Dec 30 10:59:33 PST 2011","reject",4,"false","contingent",3,"become disoriented and motionless when exposed to high ozone levels","dolphins","seals",0,0,0,0,0,0,1,0,1,0,0,0,"probable",16016,"pc000000101000","English"
"$0.40","2WAKMN9U8P9YA0VLFM93XUYJ1GYDU3","AI2GXFO5FLLZ1","Fri Dec 30 10:52:42 PST 2011","Fri Dec 30 10:59:33 PST 2011","accept",5,"false","contingent",4,"use norephinephrine as a regulator of sexual drive","rhinos","mice",0,0,0,1,0,0,0,1,0,0,0,0,"possible",16125,"pc000100010000","English"
"$0.40","2WAKMN9U8P9YA0VLFM93XUYJ1GYDU3","AI2GXFO5FLLZ1","Fri Dec 30 10:52:42 PST 2011","Fri Dec 30 10:59:33 PST 2011","reject",2,"true","identity",5,"have iron sulfate in their blood","horses","rhinos",0,0,0,0,0,0,0,1,0,1,0,0,"necessary",23609,"pc000000010100","English"
"$0.40","2WAKMN9U8P9YA0VLFM93XUYJ1GYDU3","AI2GXFO5FLLZ1","Fri Dec 30 10:52:42 PST 2011","Fri Dec 30 10:59:33 PST 2011","reject",3,"false","contingent",6,"require oxydilic acid for good digestion","chimps","dolphins",0,1,0,0,0,0,0,0,1,0,0,0,"likely",18265,"pc010000001000","English"
"$0.40","2WAKMN9U8P9YA0VLFM93XUYJ1GYDU3","AI2GXFO5FLLZ1","Fri Dec 30 10:52:42 PST 2011","Fri Dec 30 10:59:33 PST 2011","reject",4,"false","contingent",7,"have a tympanic membrane in their inner ears","mice","seals",0,0,0,1,0,0,1,0,0,0,0,0,"certain",18094,"pc000100100000","English"
"$0.40","2WAKMN9U8P9YA0VLFM93XUYJ1GYDU3","AI2GXFO5FLLZ1","Fri Dec 30 10:52:42 PST 2011","Fri Dec 30 10:59:33 PST 2011","accept",4,"false","contingent",8,"have blood salinity which declines from infancy to maturity","squirrels","gorillas",0,0,1,0,1,0,0,0,0,0,0,0,"probable",24171,"pc001010000000","English"
"$0.40","2WAKMN9U8P9YA0VLFM93XUYJ1GYDU3","AI2GXFO5FLLZ1","Fri Dec 30 10:52:42 PST 2011","Fri Dec 30 10:59:33 PST 2011","accept",4,"false","contingent",9,"have a high potassium concentration in their blood","cows","elephants",1,0,0,0,0,1,0,0,0,0,0,0,"possible",9813,"pc100001000000","English"
"$0.40","2WAKMN9U8P9YA0VLFM93XUYJ1GYDU3","AI2GXFO5FLLZ1","Fri Dec 30 10:52:42 PST 2011","Fri Dec 30 10:59:33 PST 2011","accept",4,"false","contingent",10,"have a right aortic arch","elephants","dolphins",0,0,0,0,0,1,0,0,1,0,0,0,"plausible",13797,"pc000001001000","English"
"$0.40","2WAKMN9U8P9YA0VLFM93XUYJ1GYDU3","AI2GXFO5FLLZ1","Fri Dec 30 10:52:42 PST 2011","Fri Dec 30 10:59:33 PST 2011","reject",4,"false","contingent",11,"require vitamin K for their livers to function","squirrels","mice",0,0,0,1,1,0,0,0,0,0,0,0,"none",18235,"pc000110000000","English"
"$0.40","2WAKMN9U8P9YA0VLFM93XUYJ1GYDU3","AI2GXFO5FLLZ1","Fri Dec 30 10:52:42 PST 2011","Fri Dec 30 10:59:33 PST 2011","reject",4,"false","contingent",12,"have seasmoid bones","gorillas","seals",0,0,1,0,0,0,1,0,0,0,0,0,"necessary",16469,"pc001000100000","English"
"$0.40","2WAKMN9U8P9YA0VLFM93XUYJ1GYDU3","AI2GXFO5FLLZ1","Fri Dec 30 10:52:42 PST 2011","Fri Dec 30 10:59:33 PST 2011","accept",4,"false","contingent",13,"have a blood PH of 7.9","chimps","cows",1,1,0,0,0,0,0,0,0,0,0,0,"likely",14875,"pc110000000000","English"
"$0.40","2WAKMN9U8P9YA0VLFM93XUYJ1GYDU3","AI2GXFO5FLLZ1","Fri Dec 30 10:52:42 PST 2011","Fri Dec 30 10:59:33 PST 2011","reject",3,"false","contingent",14,"secrete uric acid crystals","rhinos","elephants",0,0,0,0,0,1,0,1,0,0,0,0,"necessary",14297,"pc000001010000","English"
"$0.40","2WAKMN9U8P9YA0VLFM93XUYJ1GYDU3","AI2GXFO5FLLZ1","Fri Dec 30 10:52:42 PST 2011","Fri Dec 30 10:59:33 PST 2011","accept",4,"true","inclusion",15,"use adipose tissue to synthesize triacylglycerols","seals","animals",0,0,0,0,0,0,1,0,0,0,0,1,"likely",16265,"pc000000100001","English"
